date,avgTemp,state,country
1958,60.95349091,Arkansas,United States
1959,62.35847273,Arkansas,United States
1960,60.98425455,Arkansas,United States
1961,61.54389091,Arkansas,United States
1962,62.89470909,Arkansas,United States
1963,63.10874545,Arkansas,United States
1964,62.7962,Arkansas,United States
1965,62.98438182,Arkansas,United States
1966,61.70883636,Arkansas,United States
1967,61.85349091,Arkansas,United States
1968,60.93549091,Arkansas,United States
1969,61.65238182,Arkansas,United States
1970,62.46483636,Arkansas,United States
1971,62.87867273,Arkansas,United States
1972,62.23574545,Arkansas,United States
1973,63.07749091,Arkansas,United States
1974,62.45910909,Arkansas,United States
1975,61.91043636,Arkansas,United States
1976,61.05069091,Arkansas,United States
1977,64.22229091,Arkansas,United States
1978,62.01238182,Arkansas,United States
1979,61.2194,Arkansas,United States
1980,62.81910909,Arkansas,United States
1981,62.70636364,Arkansas,United States
1982,62.68427273,Arkansas,United States
1983,61.18323636,Arkansas,United States
1984,62.91369091,Arkansas,United States
1985,62.82647273,Arkansas,United States
1986,63.83234545,Arkansas,United States
1987,63.57690909,Arkansas,United States
1988,62.5874,Arkansas,United States
1989,60.82798182,Arkansas,United States
1990,63.85394545,Arkansas,United States
1991,64.02101818,Arkansas,United States
1992,62.18092727,Arkansas,United States
1993,61.52703636,Arkansas,United States
1994,63.01743636,Arkansas,United States
1995,62.71732727,Arkansas,United States
1996,61.97621818,Arkansas,United States
1997,62.06507273,Arkansas,United States
1998,65.19903636,Arkansas,United States
1999,64.43910909,Arkansas,United States
2000,63.21903636,Arkansas,United States
2001,63.94296364,Arkansas,United States
2002,62.83154545,Arkansas,United States
2003,63.05654545,Arkansas,United States
2004,63.37465455,Arkansas,United States
2005,63.98207273,Arkansas,United States
2006,63.85509091,Arkansas,United States
2007,64.32914545,Arkansas,United States
2008,62.30578182,Arkansas,United States
2009,62.4722,Arkansas,United States
2010,63.94034545,Arkansas,United States
2011,64.61272727,Arkansas,United States
2012,65.83950909,Arkansas,United States
2013,66.169625,California,United States
1950,61.6712,California,United States
1951,58.96105455,California,United States
1952,58.82196364,California,United States
1953,58.55196364,California,United States
1954,59.37096364,California,United States
1955,58.2656,California,United States
