dt,AverageTemperature,State,Country
1978,0.25466857142858856,Arizona,United States
1979,0.8046503896104085,Arizona,United States
1980,-0.08356779220777355,Arizona,United States
1981,-1.1620950649350519,Arizona,United States
1982,1.1895231168831302,Arizona,United States
1983,0.7830503896104091,Arizona,United States
1984,0.5873412987013253,Arizona,United States
1985,0.33305038961040623,Arizona,United States
1986,-0.08520415584413854,Arizona,United States
1987,0.5564140259740427,Arizona,United States
1988,-0.3226405194805011,Arizona,United States
1989,-1.506876883116874,Arizona,United States
1990,0.19035948051950413,Arizona,United States
1991,0.7293776623376829,Arizona,United States
1992,0.2826503896104029,Arizona,United States
1993,0.39310493506494026,Arizona,United States
1994,-0.49871324675322626,Arizona,United States
1995,-1.0097496103895978,Arizona,United States
1996,-1.7439859740259607,Arizona,United States
1997,-0.5306223376623223,Arizona,United States
1998,0.9965958441558627,Arizona,United States
1999,-0.3417859740259672,Arizona,United States
2000,-1.3072405194805086,Arizona,United States
2001,-1.2939859740259507,Arizona,United States
2002,-1.1239677922077718,Arizona,United States
2003,-1.3519132467532344,Arizona,United States
2004,-0.2532587012986909,Arizona,United States
2005,-0.8665677922077748,Arizona,United States
2006,-0.8817859740259593,Arizona,United States
2007,-1.7866950649350457,Arizona,United States
2008,-0.6792041558441397,Arizona,United States
2009,-0.7271496103895885,Arizona,United States
2010,-0.2377132467532448,Arizona,United States
2011,-0.23984051948050222,Arizona,United States
2012,-1.826295064935053,Arizona,United States
2013,-1.826295064935053,Arkansas,United States
1950,0.28914285714284915,Arkansas,United States
1951,0.8137610389610188,Arkansas,United States
1952,0.24054285714284873,Arkansas,United States
1953,-0.800675324675332,Arkansas,United States
1954,-2.1518207792207917,Arkansas,United States
1955,-0.11389350649351115,Arkansas,United States
1956,-1.0178207792207914,Arkansas,United States
1957,-0.08116623376624688,Arkansas,United States
1958,1.8618519480519353,Arkansas,United States
1959,0.45687012987011855,Arkansas,United States
1960,1.8310883116883048,Arkansas,United States
1961,1.27145194805194,Arkansas,United States
1962,-0.07936623376624397,Arkansas,United States
1963,-0.2934025974026113,Arkansas,United States
